device_type,manufacturer,typical_capacity,risk_level,common_use
USB_SSD,SanDisk,240GB,Medium,Backup
USB_SSD,SanDisk,480GB,Low,Transfer
USB_SSD,SanDisk,1TB,High,Business
USB_SSD,SanDisk,2TB,Low,Business
USB_SSD,Kingston,120GB,High,Transfer
USB_SSD,Kingston,240GB,Low,Transfer
USB_SSD,Kingston,480GB,Low,Business
USB_SSD,Kingston,1TB,High,Transfer
USB_SSD,Kingston,2TB,Medium,Business
USB_SSD,Samsung,120GB,Medium,Transfer
USB_SSD,Samsung,240GB,High,Personal
USB_SSD,Samsung,480GB,Medium,Backup
USB_SSD,Samsung,1TB,Medium,Transfer
USB_SSD,Samsung,2TB,Low,Business
USB_SSD,Western_Digital,120GB,Medium,Backup
USB_SSD,Western_Digital,240GB,High,Personal
USB_SSD,Western_Digital,480GB,Low,Backup
USB_SSD,Western_Digital,1TB,High,Personal
USB_SSD,Western_Digital,2TB,Low,Business
USB_SSD,Seagate,120GB,High,Backup
USB_SSD,Seagate,240GB,Low,Personal
USB_SSD,Seagate,480GB,Low,Transfer
USB_SSD,Seagate,1TB,High,Backup
USB_SSD,Seagate,2TB,Low,Business
USB_SSD,Lexar,120GB,Medium,Business
USB_SSD,Lexar,240GB,Medium,Backup
USB_SSD,Lexar,480GB,Medium,Backup
USB_SSD,Lexar,1TB,Medium,Business
USB_SSD,Lexar,2TB,Low,Backup
USB_SSD,PNY,120GB,Medium,Personal
USB_SSD,PNY,240GB,High,Backup
USB_SSD,PNY,480GB,Medium,Backup
USB_SSD,PNY,1TB,High,Transfer
USB_SSD,PNY,2TB,Medium,Personal
SD_Card,SanDisk,16GB,Low,Backup
SD_Card,SanDisk,32GB,Low,Personal
SD_Card,SanDisk,64GB,Low,Business
SD_Card,SanDisk,128GB,Low,Business
SD_Card,SanDisk,256GB,High,Transfer
SD_Card,Kingston,16GB,Low,Business
SD_Card,Kingston,32GB,Low,Business
SD_Card,Kingston,64GB,Medium,Personal
SD_Card,Kingston,128GB,High,Personal
SD_Card,Kingston,256GB,Medium,Transfer
SD_Card,Samsung,16GB,Medium,Transfer
SD_Card,Samsung,32GB,Medium,Backup
SD_Card,Samsung,64GB,High,Backup
SD_Card,Samsung,128GB,Medium,Transfer
SD_Card,Samsung,256GB,Low,Transfer
SD_Card,Western_Digital,16GB,High,Business
SD_Card,Western_Digital,32GB,Low,Personal
SD_Card,Western_Digital,64GB,Low,Personal
SD_Card,Western_Digital,128GB,High,Transfer
SD_Card,Western_Digital,256GB,Medium,Backup
SD_Card,Seagate,16GB,Medium,Backup
SD_Card,Seagate,32GB,Low,Business
SD_Card,Seagate,64GB,Low,Business
SD_Card,Seagate,128GB,Medium,Backup
SD_Card,Seagate,256GB,Medium,Backup
SD_Card,Lexar,16GB,High,Backup
SD_Card,Lexar,32GB,Low,Personal
SD_Card,Lexar,64GB,Medium,Transfer
SD_Card,Lexar,128GB,Low,Backup
SD_Card,Lexar,256GB,High,Backup
SD_Card,PNY,16GB,Medium,Transfer
SD_Card,PNY,32GB,Medium,Transfer
SD_Card,PNY,64GB,Low,Backup
SD_Card,PNY,128GB,Low,Business
SD_Card,PNY,256GB,Low,Business
Portable_Drive,SanDisk,1TB,High,Personal
Portable_Drive,SanDisk,2TB,High,Personal
Portable_Drive,SanDisk,4TB,Low,Business
Portable_Drive,SanDisk,5TB,Medium,Backup
Portable_Drive,SanDisk,8TB,Medium,Personal
Portable_Drive,Kingston,1TB,Low,Business
Portable_Drive,Kingston,2TB,High,Transfer
Portable_Drive,Kingston,4TB,Low,Backup
Portable_Drive,Kingston,5TB,Low,Business
Portable_Drive,Kingston,8TB,Medium,Transfer
Portable_Drive,Samsung,1TB,Medium,Personal
Portable_Drive,Samsung,2TB,Medium,Business
Portable_Drive,Samsung,4TB,Medium,Business
Portable_Drive,Samsung,5TB,Medium,Backup
Portable_Drive,Samsung,8TB,Low,Backup
Portable_Drive,Western_Digital,1TB,High,Business
Portable_Drive,Western_Digital,2TB,Low,Backup
Portable_Drive,Western_Digital,4TB,High,Transfer
Portable_Drive,Western_Digital,5TB,Medium,Backup
Portable_Drive,Western_Digital,8TB,Low,Transfer
Portable_Drive,Seagate,1TB,Low,Personal
Portable_Drive,Seagate,2TB,High,Backup
Portable_Drive,Seagate,4TB,Low,Personal
Portable_Drive,Seagate,5TB,Low,Personal
Portable_Drive,Seagate,8TB,High,Business
Portable_Drive,Lexar,1TB,Low,Transfer
Portable_Drive,Lexar,2TB,High,Backup
Portable_Drive,Lexar,4TB,Medium,Backup
Portable_Drive,Lexar,5TB,Low,Business
Portable_Drive,Lexar,8TB,Medium,Transfer
Portable_Drive,PNY,1TB,Low,Backup
Portable_Drive,PNY,2TB,Medium,Backup
Portable_Drive,PNY,4TB,High,Backup
Portable_Drive,PNY,5TB,High,Transfer
Portable_Drive,PNY,8TB,High,Business
